States,Transaction_Year,Quarters,District,Transaction_Type,Transaction_Count
delhi,2020,1,central district,TOTAL,41219414205.0607
delhi,2020,1,new delhi district,TOTAL,34941263526.20206
delhi,2020,1,west district,TOTAL,10519670848.511332
delhi,2020,1,south west district,TOTAL,6031191820.22498
delhi,2020,1,south east delhi district,TOTAL,9238065831.407084
delhi,2020,1,shahdara district,TOTAL,3847703306.2548194
delhi,2020,1,north east district,TOTAL,3286317523.1033545
delhi,2020,1,east district,TOTAL,5861493191.072474
delhi,2020,1,north west district,TOTAL,7009463341.814796
delhi,2020,1,north district,TOTAL,5959728045.553724
delhi,2021,4,south district,TOTAL,16942839763.77591
delhi,2021,4,central district,TOTAL,177625511230.04297
delhi,2021,4,new delhi district,TOTAL,99244375372.27342
delhi,2021,4,west district,TOTAL,39890704519.6619
delhi,2021,4,south west district,TOTAL,21054166955.724888
delhi,2021,4,south east delhi district,TOTAL,32122243404.91709
delhi,2021,4,shahdara district,TOTAL,17929102853.31345
delhi,2021,4,north east district,TOTAL,16623188284.116459
delhi,2021,4,east district,TOTAL,18447833006.757885
delhi,2021,4,north west district,TOTAL,26091698381.405727
delhi,2021,4,north district,TOTAL,22723650290.401375
delhi,2021,2,south district,TOTAL,9956087387.089848
delhi,2021,2,central district,TOTAL,100895875737.76091
delhi,2021,2,new delhi district,TOTAL,60387138441.32027
delhi,2021,2,west district,TOTAL,22460950400.13157
delhi,2021,2,south west district,TOTAL,13456640547.363728
delhi,2021,2,south east delhi district,TOTAL,17106146861.933065
delhi,2021,2,shahdara district,TOTAL,9073393321.040276
delhi,2021,2,north east district,TOTAL,9118331386.987755
delhi,2021,2,east district,TOTAL,10978698462.135326
delhi,2021,2,north west district,TOTAL,15462806103.953077
delhi,2021,2,north district,TOTAL,13045029034.825657
delhi,2021,3,south district,TOTAL,13789719686.570162
delhi,2021,3,central district,TOTAL,137311394953.58371
delhi,2021,3,new delhi district,TOTAL,77874603330.18225
delhi,2021,3,west district,TOTAL,31879892281.09146
delhi,2021,3,south west district,TOTAL,17385987188.96021
delhi,2021,3,south east delhi district,TOTAL,25283744433.53666
delhi,2021,3,shahdara district,TOTAL,13750322170.230267
delhi,2021,3,north east district,TOTAL,12299024401.944893
delhi,2021,3,east district,TOTAL,14944795668.028805
delhi,2021,3,north west district,TOTAL,21133053482.335487
delhi,2021,3,north district,TOTAL,18205778951.817307
delhi,2021,1,south district,TOTAL,10208060134.038582
delhi,2021,1,central district,TOTAL,90711721159.7766
