States,Transaction_Year,Quarters,District,Transaction_Type,Transaction_Count,Transaction_Amount
tamil-nadu,2022,3,coimbatore,TOTAL,43610373,63815834929.8924
tamil-nadu,2022,3,chennai,TOTAL,42908667,65344650467.52282
tamil-nadu,2022,3,salem,TOTAL,31403065,50435972371.68587
tamil-nadu,2022,3,thiruvallur,TOTAL,25690184,40124901027.15739
tamil-nadu,2022,3,madurai,TOTAL,18854500,34963057317.53805
tamil-nadu,2022,3,tiruppur,TOTAL,17847117,25599159008.871284
tamil-nadu,2022,3,kancheepuram,TOTAL,16476680,22598905113.9707
tamil-nadu,2022,3,krishnagiri,TOTAL,14932340,25680854032.527496
tamil-nadu,2022,3,erode,TOTAL,9576460,15897874506.90147
tamil-nadu,2022,1,chennai,TOTAL,87458453,135444152912.82495
tamil-nadu,2022,1,coimbatore,TOTAL,30679187,51963955887.092926
tamil-nadu,2022,1,thiruvallur,TOTAL,21243322,35412374869.40968
tamil-nadu,2022,1,chengalpattu,TOTAL,19802491,27209616572.77708
tamil-nadu,2022,1,salem,TOTAL,13278693,26325325605.86054
tamil-nadu,2022,1,kancheepuram,TOTAL,13219354,19642924522.879723
tamil-nadu,2022,1,tiruppur,TOTAL,12755181,20994558968.024055
tamil-nadu,2022,1,krishnagiri,TOTAL,11729353,20650466208.670746
tamil-nadu,2022,1,madurai,TOTAL,7084562,15309320989.586182
tamil-nadu,2022,1,erode,TOTAL,6860000,12788323701.47359
tamil-nadu,2018,4,chennai,TOTAL,8007699,14632395110.56675
tamil-nadu,2018,4,chengalpattu,TOTAL,1974233,3371036660.9159293
tamil-nadu,2018,4,coimbatore,TOTAL,1902305,3656789906.019909
tamil-nadu,2018,4,thiruvallur,TOTAL,1578958,2979682370.963098
tamil-nadu,2018,4,kancheepuram,TOTAL,1161731,2100098547.5513415
tamil-nadu,2018,4,tiruppur,TOTAL,811860,1780229997.9785938
tamil-nadu,2018,4,salem,TOTAL,696312,1471377592.2860994
tamil-nadu,2018,4,krishnagiri,TOTAL,593519,1260396240.123799
tamil-nadu,2018,4,tiruchirappalli,TOTAL,521026,1117403132.5568237
tamil-nadu,2018,4,madurai,TOTAL,474612,1067216902.8803706
tamil-nadu,2018,2,chennai,TOTAL,3719593,7305357440.752291
tamil-nadu,2018,2,coimbatore,TOTAL,871802,1722112067.157432
tamil-nadu,2018,2,chengalpattu,TOTAL,829689,1681243536.8538094
tamil-nadu,2018,2,thiruvallur,TOTAL,615860,1281039198.6235366
tamil-nadu,2018,2,kancheepuram,TOTAL,460276,926687779.5176952
tamil-nadu,2018,2,tiruppur,TOTAL,391330,829169121.0692806
tamil-nadu,2018,2,salem,TOTAL,333175,709542959.1656411
tamil-nadu,2018,2,tiruchirappalli,TOTAL,245903,507249777.35516965
tamil-nadu,2018,2,krishnagiri,TOTAL,240421,518922355.15062875
tamil-nadu,2018,2,madurai,TOTAL,213788,460415565.2125236
tamil-nadu,2018,3,chennai,TOTAL,5887343,10122319547.137985
tamil-nadu,2018,3,coimbatore,TOTAL,1469560,2559173878.2111635
tamil-nadu,2018,3,chengalpattu,TOTAL,1337462,2362109205.940035
tamil-nadu,2018,3,thiruvallur,TOTAL,957503,1926378414.6646476
tamil-nadu,2018,3,kancheepuram,TOTAL,766192,1416878619.3813162
tamil-nadu,2018,3,tiruppur,TOTAL,583538,1259741718.0399766
tamil-nadu,2018,3,salem,TOTAL,484460,980781000.3982489
tamil-nadu,2018,3,krishnagiri,TOTAL,421247,853575950.8987744
tamil-nadu,2018,3,tiruchirappalli,TOTAL,342744,723073924.7012352
tamil-nadu,2018,3,madurai,TOTAL,322515,702347696.9219124
